Robert,Radloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 11 2021,2:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time(min),Line TC Setpoint(C),Line TC(C),Line Heater(%),Vaporizer TC(C),Vaporizer HeaterTC(C),Vaporizer Heater(%),Vaporizer Scale(lb),Vaporization(lb/h),Powder Feed Setpoint(g/h),Powder Scale(g),Powder Rate(g/h),Chamber TC Setpoint(C),Chamber TC1(C),Chamber TC2(C),Chamber Heater(%),MFC#0,MFC#1,MFC#2,MFC#3,ArMFC#1,ArMFC#2,ArMFC#3,XFMR Status,Vaccum Pump Outlet TC(C),Vaccum Pump Intlet TC(C),Inlet Valve Open,Inlet Valve Closed,Outlet Valve Open,Outlet Valve Closed,MKS Press/Pos,MKS Set Point,MKS Pressure(Torr),MKS Position(degrees),Injector TC(C),HG-412,HG-414,HG-416,PG-412,PG-414,PG-416,HG-418,MTS-414,HG-419,MH-481,MTS-420,Vibrator,Vibrator2,Bell Jar Press(Torr),Exhaust Press(Torr),Run-Time(min),Sub Run-Time(min)
2047,-17.778,-17.778,0,23.621,83.133,40,252.5,6.768,0,9990000,0,1410,1409.964,1417.538,57.783,6.768,17.935,36.807,0,0,19.784,1.283,1,0,0,1,0,1,1,0,0,300,294.15,7.367,0,1,1,1,0,1,0,0,1,1,1,1,0,233.059,757.668,1982.15,971.3
2048,-17.778,-17.778,0,23.687,83.235,40,252.5,6.927,0,9990000,0,1410,1409.697,1416.672,57.851,6.927,17.928,36.913,0,0,19.768,1.332,1,0,0,1,0,1,1,0,0,300,294.229,7.325,0,1,1,1,0,1,0,0,1,1,1,1,0,232.938,757.897,1983.15,972.3
2049,-17.778,-17.778,0,23.633,83.191,41.034,252.5,7.638,0,9990000,0,1410,1410.052,1416.841,57.778,7.981,17.923,36.715,0,0,19.756,1.234,1,0,0,1,0,1,1,0,0,300,294.203,7.3,0,1,1,1,0,1,0,0,1,1,1,1,0,232.604,757.819,1984.167,973.317
2050,-17.778,-17.778,0,23.74,83.194,40.169,252.5,6.87,0,9990000,0,1410,1409.902,1417.187,57.769,6.906,17.932,36.799,0,0,19.771,1.258,1,0,0,1,0,1,1,0,0,300,294.203,7.365,0,1,1,1,0,1,0,0,1,1,1,1,0,232.876,757.841,1985.167,974.317
2051,-17.778,-17.778,0,23.719,83.086,39.194,252.5,7.234,0,9990000,0,1410,1410.383,1416.572,57.574,6.957,17.907,36.858,0,0,19.713,1.168,1,0,0,1,0,1,1,0,0,300,294.09,7.267,0,1,1,1,0,1,0,0,1,1,1,1,0,232.721,757.869,1986.183,975.333
2052,-17.778,-17.778,0,23.769,83.172,40,252.5,6.874,0,9990000,0,1410,1409.451,1416.341,57.84,6.874,17.928,36.913,0,0,19.768,1.332,1,0,0,1,0,1,1,0,0,300,294.107,7.329,0,1,1,1,0,1,0,0,1,1,1,1,0,232.996,758.095,1987.2,976.35
2053,-17.778,-17.778,0,23.777,83.028,40,252.5,6.684,0,9990000,0,1410,1410.342,1416.678,57.652,6.684,17.928,36.826,0,0,19.756,1.204,1,0,0,1,0,1,1,0,0,300,294.05,7.32,0,1,1,1,0,1,0,0,1,1,1,1,0,233.144,757.929,1988.2,977.35
2054,-17.778,-17.778,0,23.689,82.997,40,252.5,6.992,0,9990000,0,1410,1409.796,1417.264,57.761,6.992,17.934,36.794,0,0,19.78,1.257,1,0,0,1,0,1,1,0,0,300,294.119,7.312,0,1,1,1,0,1,0,0,1,1,1,1,0,232.699,757.643,1989.2,978.35
2055,-17.778,-17.778,0,23.813,82.982,40,252.5,6.826,0,9990000,0,1410,1409.6,1416.55,57.801,6.826,17.919,36.777,0,0,19.737,1.176,1,0,0,1,0,1,1,0,0,300,294.116,7.298,0,1,1,1,0,1,0,0,1,1,1,1,0,232.841,757.583,1990.2,979.35
2056,-17.778,-17.778,0,23.835,83.169,40,252.5,7.172,0,9990000,0,1410,1409.998,1416.246,57.683,7.172,17.911,37.017,0,0,19.726,1.346,1,0,0,1,0,1,1,0,0,300,294.03,7.277,0,1,1,1,0,1,0,0,1,1,1,1,0,233.079,758.088,1991.2,980.35
2057,-17.778,-17.778,0,23.842,83.219,41.62,252.5,6.412,0,9990000,0,1410,1409.602,1416.304,57.835,6.934,17.928,36.941,0,0,19.77,1.335,1,0,0,1,0,1,1,0,0,300,294.027,7.267,0,1,1,1,0,1,0,0,1,1,1,1,0,233.124,757.961,1992.2,981.35
2058,-17.778,-17.778,0,23.794,83.312,41.572,252.5,6.469,0,9990000,0,1410,1409.826,1416.624,57.788,6.94,17.932,36.801,0,0,19.776,1.271,1,0,0,1,0,1,1,0,0,300,294.008,7.322,0,1,1,1,0,1,0,0,1,1,1,1,0,232.948,757.697,1993.217,982.367
2059,-17.778,-17.778,0,23.767,83.283,40.699,252.5,6.766,0,9990000,0,1410,1410.157,1416.652,57.616,6.93,17.931,36.795,0,0,19.769,1.264,1,0,0,1,0,1,1,0,0,300,293.991,7.29,0,1,1,1,0,1,0,0,1,1,1,1,0,232.654,757.588,1994.217,983.367
2060,-17.778,-17.778,0,23.727,83.297,37.734,252.5,7.721,0,9990000,0,1410,1409.42,1416.543,57.827,6.922,17.93,36.853,0,0,19.784,1.312,1,0,0,1,0,1,1,0,0,300,294.006,7.293,0,1,1,1,0,1,0,0,1,1,1,1,0,232.669,757.842,1995.233,984.383
2061,-17.778,-17.778,0,23.797,83.143,40.001,252.5,7.031,0,9990000,0,1410,1410.149,1416.133,57.687,6.96,17.907,36.829,0,0,19.71,1.159,1,0,0,1,0,1,1,0,0,300,293.984,7.283,0,1,1,1,0,1,0,0,1,1,1,1,0,232.934,757.506,1996.233,985.383
2062,-17.778,-17.778,0,23.676,83.202,39.969,252.5,7.15,0,9990000,0,1410,1409.631,1416.531,57.834,7.12,17.928,36.911,0,0,19.764,1.331,1,0,0,1,0,1,1,0,0,300,293.986,7.326,0,1,1,1,0,1,0,0,1,1,1,1,0,232.803,757.947,1997.25,986.4
2063,-17.778,-17.778,0,23.875,83.199,39.444,252.5,7.173,0,9990000,0,1410,1409.715,1416.531,57.836,6.968,17.918,36.996,0,0,19.74,1.344,1,0,0,1,0,1,1,0,0,300,293.945,7.29,0,1,1,1,0,1,0,0,1,1,1,1,0,232.659,758.007,1998.25,987.4
2064,-17.778,-17.778,0,23.803,83.122,39.508,252.5,7.093,0,9990000,0,1410,1410.182,1417.335,57.654,6.914,17.933,36.802,0,0,19.773,1.245,1,0,0,1,0,1,1,0,0,300,294.009,7.308,0,1,1,1,0,1,0,0,1,1,1,1,0,232.846,757.632,1999.267,988.417
2065,-17.778,-17.778,0,23.719,83.124,40,252.5,6.962,0,9990000,0,1410,1409.67,1416.32,57.767,6.962,17.917,37.005,0,0,19.729,1.347,1,0,0,1,0,1,1,0,0,300,293.881,7.31,0,1,1,1,0,1,0,0,1,1,1,1,0,232.743,757.782,2000.267,989.417
2066,-17.778,-17.778,0,23.768,83.11,40.613,252.5,6.725,0,9990000,0,1410,1409.821,1416.657,57.8,6.914,17.919,36.77,0,0,19.741,1.183,1,0,0,1,0,1,1,0,0,300,293.927,7.311,0,1,1,1,0,1,0,0,1,1,1,1,0,232.855,757.573,2001.267,990.417
2067,-17.778,-17.778,0,23.854,83.244,39.701,252.5,7.069,0,9990000,0,1410,1410.362,1416.502,57.621,6.951,17.9,37.025,0,0,19.692,1.261,1,0,0,1,0,1,1,0,0,300,293.949,7.329,0,1,1,1,0,1,0,0,1,1,1,1,0,232.697,757.804,2002.267,991.417
2068,-17.778,-17.778,0,23.805,83.103,40,252.5,3.859,0,9990000,0,1410,1410.392,1416.197,57.593,3.859,17.915,37.112,0,0,19.734,1.202,1,0,0,1,0,1,1,0,0,300,293.963,7.326,0,1,1,1,0,1,0,0,1,1,1,1,0,232.37,757.866,2003.267,992.417
2069,-17.778,-17.778,0,23.833,83.187,40,252.5,6.895,0,9990000,0,1410,1409.472,1416.782,57.915,6.895,17.933,36.822,0,0,19.774,1.282,1,0,0,1,0,1,1,0,0,300,293.945,7.27,0,1,1,1,0,1,0,0,1,1,1,1,0,232.938,757.646,2004.283,993.433
2070,-17.778,-17.778,0,23.89,83.156,40,252.5,6.927,0,9990000,0,1410,1409.943,1415.861,57.763,6.927,17.899,37.077,0,0,19.707,1.313,1,0,0,1,0,1,1,0,0,300,294.016,7.34,0,1,1,1,0,1,0,0,1,1,1,1,0,232.903,758.038,2005.283,994.433
2071,-17.778,-17.778,0,23.781,83.217,40.924,252.5,6.63,0,6720000,0,1410,1410.04,1416.621,57.684,6.932,17.934,36.816,0,0,19.786,1.295,1,0,0,1,0,1,1,0,0,300,294.036,7.298,0,1,1,1,0,1,0,0,1,1,1,1,0,232.955,757.885,2006.3,995.45
2072,-17.778,-17.778,0,23.65,83.291,40.915,252.5,6.646,0,9990000,0,1410,1409.574,1416.365,57.834,6.922,17.92,36.971,0,0,19.754,1.338,1,0,0,1,0,1,1,0,0,300,294.027,7.294,0,1,1,1,0,1,0,0,1,1,1,1,0,233.119,758.118,2007.3,996.45
2073,-17.778,-17.778,0,23.776,83.21,39.028,252.5,7.297,0,9990000,0,1410,1410.049,1416.297,57.694,6.949,17.906,36.827,0,0,19.702,1.16,1,0,0,1,0,1,1,0,0,300,294.116,7.343,0,1,1,1,0,1,0,0,1,1,1,1,0,233.025,757.709,2008.317,997.467
2074,-17.778,-17.778,0,23.684,83.076,38.991,252.5,7.267,0,9990000,0,1410,1409.898,1417.397,57.762,6.929,17.922,36.789,0,0,19.752,1.185,1,0,0,1,0,1,1,0,0,300,294.049,7.31,0,1,1,1,0,1,0,0,1,1,1,1,0,232.66,757.716,2009.317,998.467
2075,-17.778,-17.778,0,23.717,83.185,40,252.5,6.896,0,9990000,0,1410,1410.076,1416.758,57.722,6.896,17.908,37.053,0,0,19.711,1.343,1,0,0,1,0,1,1,0,0,300,293.97,7.279,0,1,1,1,0,1,0,0,1,1,1,1,0,233.026,758.204,2010.333,999.483
2076,-17.778,-17.778,0,23.765,83.062,40,252.5,6.829,0,9990000,0,1410,1410.584,1416.333,57.495,6.829,17.898,36.967,0,0,19.698,1.226,1,0,0,1,0,1,1,0,0,300,293.98,7.309,0,1,1,1,0,1,0,0,1,1,1,1,0,233.069,757.87,2011.333,1000.483
2077,-17.778,-17.778,0,23.75,83.079,40,252.5,6.936,0,9990000,0,1410,1410.082,1416.323,57.599,6.936,17.908,36.835,0,0,19.714,1.16,1,0,0,1,0,1,1,0,0,300,294.067,7.358,0,1,1,1,0,1,0,0,1,1,1,1,0,233.006,757.988,2012.333,1001.483
2078,-17.778,-17.778,0,23.667,83.101,40,252.5,7.521,0,9990000,0,1410,1409.955,1416.557,57.659,7.521,17.92,36.775,0,0,19.75,1.187,1,0,0,1,0,1,1,0,0,300,294.089,7.288,0,1,1,1,0,1,0,0,1,1,1,1,0,232.831,757.846,2013.333,1002.483
2079,-17.778,-17.778,0,23.758,83.057,40.319,252.5,6.857,0,9990000,0,1410,1410.009,1416.272,57.701,6.944,17.914,36.791,0,0,19.72,1.165,1,0,0,1,0,1,1,0,0,300,294.034,7.303,0,1,1,1,0,1,0,0,1,1,1,1,0,232.741,757.741,2014.333,1003.483
2080,-17.778,-17.778,0,23.777,83.121,39.361,252.5,7.163,0,9990000,0,1410,1409.585,1416.11,57.857,6.938,17.913,37.03,0,0,19.721,1.346,1,0,0,1,0,1,1,0,0,300,293.982,7.286,0,1,1,1,0,1,0,0,1,1,1,1,0,232.911,758.272,2015.35,1004.5
2081,-17.778,-17.778,0,23.742,82.991,40,252.5,7.081,0,9990000,0,1410,1409.587,1416.607,57.92,7.081,17.929,36.788,0,0,19.774,1.228,1,0,0,1,0,1,1,0,0,300,294.084,7.295,0,1,1,1,0,1,0,0,1,1,1,1,0,232.796,757.955,2016.35,1005.5
2082,-17.778,-17.778,0,23.79,82.993,40,252.5,7.057,0,9990000,0,1410,1410.645,1416.2,57.522,7.057,17.905,36.873,0,0,19.709,1.166,1,0,0,1,0,1,1,0,0,300,294.083,7.28,0,1,1,1,0,1,0,0,1,1,1,1,0,232.979,757.879,2017.35,1006.5
2083,-17.778,-17.778,0,23.667,83.119,40.482,252.5,6.79,0,9990000,0,1410,1410.385,1415.891,57.609,6.933,17.903,37.053,0,0,19.689,1.282,1,0,0,1,0,1,1,0,0,300,294.094,7.333,0,1,1,1,0,1,0,0,1,1,1,1,0,232.912,758.22,2018.35,1007.5
2084,-17.778,-17.778,0,23.743,83.088,40.182,252.5,6.881,0,9990000,0,1410,1409.94,1416.758,57.702,6.912,17.917,36.782,0,0,19.734,1.172,1,0,0,1,0,1,1,0,0,300,294.064,7.318,0,1,1,1,0,1,0,0,1,1,1,1,0,232.929,757.894,2019.367,1008.517
2085,-17.778,-17.778,0,23.596,83.103,39.733,252.5,7.07,0,9990000,0,1410,1409.999,1417.09,57.721,6.963,17.932,36.83,0,0,19.789,1.284,1,0,0,1,0,1,1,0,0,300,294.088,7.306,0,1,1,1,0,1,0,0,1,1,1,1,0,232.942,758.006,2020.367,1009.517
2086,-17.778,-17.778,0,23.737,83.107,42.493,252.6,6.17,0,9990000,0,1410,1409.88,1416.568,57.715,6.922,17.926,36.774,0,0,19.765,1.212,1,0,0,1,0,1,1,0,0,300,294.149,7.336,0,1,1,1,0,1,0,0,1,1,1,1,0,233.098,757.898,2021.367,1010.517
2087,-17.778,-17.778,0,23.713,83.259,40.258,252.5,6.796,0,1570000,0,1410,1409.787,1416.68,57.775,6.821,17.922,36.769,0,0,19.751,1.196,1,0,0,1,0,1,1,0,0,300,294.085,7.308,0,1,1,1,0,1,0,0,1,1,1,1,0,232.585,758.005,2022.367,1011.517
2088,-17.778,-17.778,0,23.739,83.133,39.406,252.5,7.107,0,9990000,0,1410,1410.629,1416.946,57.503,6.892,17.904,36.872,0,0,19.71,1.168,1,0,0,1,0,1,1,0,0,300,294.175,7.31,0,1,1,1,0,1,0,0,1,1,1,1,0,232.968,757.937,2023.383,1012.533
2089,-17.778,-17.778,0,23.636,83.273,40.937,252.5,6.647,0,9990000,0,1410,1410.043,1416.353,57.685,6.903,17.911,37.034,0,0,19.739,1.347,1,0,0,1,0,1,1,0,0,300,294.108,7.312,0,1,1,1,0,1,0,0,1,1,1,1,0,232.935,758.16,2024.383,1013.533
2090,-17.778,-17.778,0,23.646,83.163,38.956,252.5,7.465,0,9990000,0,1410,1410.388,1416.699,57.607,7.076,17.923,36.788,0,0,19.769,1.221,1,0,0,1,0,1,1,0,0,300,294.102,7.333,0,1,1,1,0,1,0,0,1,1,1,1,0,232.732,758.131,2025.4,1014.55
2091,-17.778,-17.778,0,23.738,83.074,40.016,252.5,7.021,0,9990000,0,1410,1410.142,1416.611,57.626,7.006,17.901,36.9,0,0,19.699,1.177,1,0,0,1,0,1,1,0,0,300,294.122,7.345,0,1,1,1,0,1,0,0,1,1,1,1,0,233.089,757.94,2026.4,1015.55
2092,-17.778,-17.778,0,23.713,83.056,39.025,252.5,5.67,0,9990000,0,1410,1410.479,1416.223,57.486,5.342,17.909,37.064,0,0,19.714,1.217,1,0,0,1,0,1,1,0,0,300,294.099,7.34,0,1,1,1,0,1,0,0,1,1,1,1,0,232.814,758.184,2027.417,1016.567
2093,-17.778,-17.778,0,23.633,83.066,40,252.5,6.935,0,9990000,0,1410,1409.416,1416.826,57.859,6.935,17.933,36.839,0,0,19.78,1.285,1,0,0,1,0,1,1,0,0,300,293.94,7.333,0,1,1,1,0,1,0,0,1,1,1,1,0,232.797,758.266,2028.417,1017.567
2094,-17.778,-17.778,0,23.711,83.002,40.541,252.5,6.731,0,9990000,0,1410,1410.132,1416.466,57.638,6.895,17.92,36.785,0,0,19.734,1.178,1,0,0,1,0,1,1,0,0,300,293.896,7.289,0,1,1,1,0,1,0,0,1,1,1,1,0,232.594,758.024,2029.417,1018.567
2095,-17.778,-17.778,0,23.715,83.053,39.621,252.5,6.88,0,9990000,0,1410,1409.832,1416.187,57.711,6.737,17.921,36.966,0,0,19.757,1.345,1,0,0,1,0,1,1,0,0,300,293.928,7.312,0,1,1,1,0,1,0,0,1,1,1,1,0,232.845,758.485,2030.417,1019.567
2096,-17.778,-17.778,0,23.8,83.136,40.756,252.5,6.687,0,9990000,0,1410,1410.102,1415.9,57.682,6.928,17.904,37.068,0,0,19.702,1.32,1,0,0,1,0,1,1,0,0,300,293.876,7.232,0,1,1,1,0,1,0,0,1,1,1,1,0,233.017,758.469,2031.433,1020.583
2097,-17.778,-17.778,0,23.745,83.03,39.86,252.5,6.977,0,9990000,0,1410,1409.808,1415.84,57.718,6.91,17.899,37.064,0,0,19.692,1.295,1,0,0,1,0,1,1,0,0,300,293.98,7.334,0,1,1,1,0,1,0,0,1,1,1,1,0,233.092,758.268,2032.433,1021.583
2098,-17.778,-17.778,0,23.813,82.972,39.434,252.5,7.229,0,9990000,0,1410,1409.562,1416.388,57.849,6.947,17.917,37.016,0,0,19.75,1.344,1,0,0,1,0,1,1,0,0,300,293.995,7.325,0,1,1,1,0,1,0,0,1,1,1,1,0,232.875,758.323,2033.45,1022.6
2099,-17.778,-17.778,0,23.719,82.888,42.369,252.6,6.187,0,9990000,0,1410,1409.598,1416.83,57.856,6.914,17.927,36.797,0,0,19.772,1.25,1,0,0,1,0,1,1,0,0,300,293.941,7.309,0,1,1,1,0,1,0,0,1,1,1,1,0,232.673,758.132,2034.467,1023.617
2100,-17.778,-17.778,0,23.667,83.093,41.41,252.5,6.526,0,9990000,0,1410,1409.83,1416.769,57.755,6.951,17.932,36.884,0,0,19.779,1.326,1,0,0,1,0,1,1,0,0,300,293.879,7.293,0,1,1,1,0,1,0,0,1,1,1,1,0,232.87,758.329,2035.467,1024.617
2101,-17.778,-17.778,0,23.797,83.043,39.297,252.5,7.212,0,9990000,0,1410,1410.344,1416.123,57.532,6.926,17.902,36.979,0,0,19.696,1.23,1,0,0,1,0,1,1,0,0,300,293.864,7.304,0,1,1,1,0,1,0,0,1,1,1,1,0,232.781,758.066,2036.483,1025.633
2102,-17.778,-17.778,0,23.71,83.041,38.906,252.5,7.316,0,9990000,0,1410,1409.953,1416.059,57.638,6.927,17.9,37.055,0,0,19.696,1.288,1,0,0,1,0,1,1,0,0,300,293.923,7.33,0,1,1,1,0,1,0,0,1,1,1,1,0,233.065,758.55,2037.483,1026.633
2103,-17.778,-17.778,0,23.712,83.091,42.639,252.6,5.939,0,9990000,0,1410,1409.968,1415.769,57.64,6.645,17.901,37.072,0,0,19.707,1.318,1,0,0,1,0,1,1,0,0,300,293.923,7.328,0,1,1,1,0,1,0,0,1,1,1,1,0,233,758.498,2038.5,1027.65
2104,-17.778,-17.778,0,23.802,83.228,41.222,252.6,6.68,0,9990000,0,1410,1410.06,1416.851,57.647,6.922,17.92,36.975,0,0,19.771,1.34,1,0,0,1,0,1,1,0,0,300,293.935,7.342,0,1,1,1,0,1,0,0,1,1,1,1,0,232.607,758.404,2039.517,1028.667
2105,-17.778,-17.778,0,23.793,83.308,41.819,252.6,6.617,0,9990000,0,1410,1409.735,1416.605,57.672,7.001,17.924,36.944,0,0,19.767,1.337,1,0,0,1,0,1,1,0,0,300,293.931,7.298,0,1,1,1,0,1,0,0,1,1,1,1,0,234.06,758.466,2040.533,1029.683
2106,-17.778,-17.778,0,23.722,83.522,41.757,252.5,6.531,0,9990000,0,1410,1409.743,1416.268,57.695,6.951,17.921,36.964,0,0,19.762,1.338,1,0,0,1,0,1,1,0,0,300,293.998,7.319,0,1,1,1,0,1,0,0,1,1,1,1,0,232.597,758.293,2041.533,1030.683
2107,-17.778,-17.778,0,23.638,83.244,37.146,252.5,7.993,0,9990000,0,1410,1409.393,1416.708,57.832,6.928,17.931,36.824,0,0,19.787,1.287,1,0,0,1,0,1,1,0,0,300,293.929,7.31,0,1,1,1,0,1,0,0,1,1,1,1,0,232.816,758.306,2042.533,1031.683
2108,-17.778,-17.778,0,23.718,83.144,41.716,252.6,6.546,0,9990000,0,1410,1410.32,1416.083,57.616,6.94,17.9,37.051,0,0,19.7,1.276,1,0,0,1,0,1,1,0,0,300,293.994,7.324,0,1,1,1,0,1,0,0,1,1,1,1,0,234.013,758.203,2043.533,1032.683
2109,-17.778,-17.778,0,23.653,83.195,41.215,252.5,7.034,0,9990000,0,1410,1409.688,1416.576,57.709,7.341,17.92,36.935,0,0,19.762,1.336,1,0,0,1,0,1,1,0,0,300,294.069,7.299,0,1,1,1,0,1,0,0,1,1,1,1,0,232.889,758.407,2044.55,1033.7
2110,-17.778,-17.778,0,23.571,83.165,40.963,252.5,6.56,0,9990000,0,1410,1409.807,1416.864,57.732,6.731,17.929,36.785,0,0,19.772,1.254,1,0,0,1,0,1,1,0,0,300,294.057,7.349,0,1,1,1,0,1,0,0,1,1,1,1,0,232.878,758.33,2045.55,1034.7
2111,-17.778,-17.778,0,23.671,83.288,41.069,252.5,6.696,0,9990000,0,1410,1409.985,1416.094,57.636,6.942,17.909,37.049,0,0,19.722,1.344,1,0,0,1,0,1,1,0,0,300,294.076,7.341,0,1,1,1,0,1,0,0,1,1,1,1,0,232.767,758.436,2046.567,1035.717
2112,-17.778,-17.778,0,23.71,83.129,40.218,252.6,7.087,0,9990000,0,1410,1410.123,1416.384,57.585,6.953,17.9,36.916,0,0,19.703,1.187,1,0,0,1,0,1,1,0,0,300,294.084,7.314,0,1,1,1,0,1,0,0,1,1,1,1,0,232.863,758.102,2047.567,1036.717
2113,-17.778,-17.778,0,23.72,83.196,39.606,252.5,7.205,0,9990000,0,1410,1409.941,1416.372,57.697,6.985,17.927,36.787,0,0,19.754,1.203,1,0,0,1,0,1,1,0,0,300,294.087,7.302,0,1,1,1,0,1,0,0,1,1,1,1,0,232.495,758.145,2048.567,1037.717
2114,-17.778,-17.778,0,23.772,83.2,38.211,252.5,7.55,0,9990000,0,1410,1410.546,1416.15,57.58,6.894,17.905,36.849,0,0,19.702,1.161,1,0,0,1,0,1,1,0,0,300,294.101,7.328,0,1,1,1,0,1,0,0,1,1,1,1,0,232.795,758.044,2049.567,1038.717
2115,-17.778,-17.778,0,23.682,83.059,40.636,252.5,6.77,0,9990000,0,1410,1410.359,1416.969,57.547,6.964,17.924,36.782,0,0,19.746,1.186,1,0,0,1,0,1,1,0,0,300,294.077,7.34,0,1,1,1,0,1,0,0,1,1,1,1,0,232.695,758.169,2050.583,1039.733
2116,-17.778,-17.778,0,23.653,83.165,41.408,252.5,6.596,0,9990000,0,1410,1409.396,1416.388,57.843,7.006,17.925,36.905,0,0,19.772,1.331,1,0,0,1,0,1,1,0,0,300,294.152,7.316,0,1,1,1,0,1,0,0,1,1,1,1,0,232.633,758.433,2051.583,1040.733
2117,-17.778,-17.778,0,23.621,83.205,40.71,252.6,5.867,0,9990000,0,1410,1409.799,1416.111,57.666,5.974,17.917,37.066,0,0,19.749,1.346,1,0,0,1,0,1,1,0,0,300,294.107,7.269,0,1,1,1,0,1,0,0,1,1,1,1,0,232.668,758.435,2052.6,1041.75
2118,-17.778,-17.778,0,23.741,83.206,41.482,252.5,6.483,0,9990000,0,1410,1410.022,1416.665,57.641,6.841,17.921,36.788,0,0,19.748,1.184,1,0,0,1,0,1,1,0,0,300,294.127,7.316,0,1,1,1,0,1,0,0,1,1,1,1,0,233.016,757.999,2053.6,1042.75
2119,-17.778,-17.778,0,23.646,83.528,43.903,252.5,5.8,0,9990000,0,1410,1410.163,1416.652,57.629,6.927,17.93,36.878,0,0,19.781,1.32,1,0,0,1,0,1,1,0,0,300,294.124,7.334,0,1,1,1,0,1,0,0,1,1,1,1,0,233.054,758.271,2054.6,1043.75
2120,-17.778,-17.778,0,23.633,83.708,38.235,252.5,7.732,0,9990000,0,1410,1409.478,1416.488,57.806,6.933,17.924,36.943,0,0,19.775,1.336,1,0,0,1,0,1,1,0,0,300,294.115,7.328,0,1,1,1,0,1,0,0,1,1,1,1,0,232.982,758.597,2055.617,1044.767
2121,-17.778,-17.778,0,23.695,83.482,40.569,252.6,6.991,0,9990000,0,1410,1410.079,1416.53,57.673,6.889,17.917,36.797,0,0,19.752,1.175,1,0,0,1,0,1,1,0,0,300,294.096,7.314,0,1,1,1,0,1,0,0,1,1,1,1,0,232.973,758.061,2056.617,1045.767
2122,-17.778,-17.778,0,23.647,83.839,43.35,252.5,6.125,0,9990000,0,1410,1410.413,1416.269,57.553,7.037,17.92,36.985,0,0,19.756,1.341,1,0,0,1,0,1,1,0,0,300,294.007,7.342,0,1,1,1,0,1,0,0,1,1,1,1,0,232.842,758.485,2057.633,1046.783
2123,-17.778,-17.778,0,23.711,83.769,38.763,252.5,7.462,0,9990000,0,1410,1409.983,1416.232,57.678,6.76,17.916,37.03,0,0,19.747,1.345,1,0,0,1,0,1,1,0,0,300,293.951,7.307,0,1,1,1,0,1,0,0,1,1,1,1,0,232.825,758.516,2058.65,1047.8
2124,-17.778,-17.778,0,23.785,83.525,39.144,252.6,7.487,0,9990000,0,1410,1410.103,1416.462,57.616,6.944,17.915,36.992,0,0,19.743,1.342,1,0,0,1,0,1,1,0,0,300,293.941,7.324,0,1,1,1,0,1,0,0,1,1,1,1,0,232.868,758.65,2059.65,1048.8
2125,-17.778,-17.778,0,23.647,83.358,37.744,252.5,7.836,0,9990000,0,1410,1409.456,1416.5,57.78,6.919,17.93,36.894,0,0,19.773,1.327,1,0,0,1,0,1,1,0,0,300,293.887,7.321,0,1,1,1,0,1,0,0,1,1,1,1,0,232.785,758.604,2060.65,1049.8
2126,-17.778,-17.778,0,23.686,83.248,38.175,252.5,7.571,0,9990000,0,1410,1409.722,1416.416,57.685,6.926,17.923,36.778,0,0,19.749,1.191,1,0,0,1,0,1,1,0,0,300,294.011,7.322,0,1,1,1,0,1,0,0,1,1,1,1,0,232.912,758.083,2061.65,1050.8
2127,-17.778,-17.778,0,23.612,83.206,41.721,252.5,6.391,0,9990000,0,1410,1409.349,1416.651,57.856,6.918,17.929,36.851,0,0,19.785,1.309,1,0,0,1,0,1,1,0,0,300,294.022,7.309,0,1,1,1,0,1,0,0,1,1,1,1,0,232.67,758.354,2062.667,1051.817
2128,-17.778,-17.778,0,23.643,83.295,42.288,252.6,6.323,0,9990000,0,1410,1410.102,1416.555,57.556,6.932,17.913,36.802,0,0,19.718,1.162,1,0,0,1,0,1,1,0,0,300,294.089,7.354,0,1,1,1,0,1,0,0,1,1,1,1,0,232.95,758.261,2063.667,1052.817
2129,-17.778,-17.778,0,23.72,83.271,39.168,252.5,7.225,0,9990000,0,1410,1410.241,1415.907,57.587,6.811,17.9,37.009,0,0,19.698,1.246,1,0,0,1,0,1,1,0,0,300,294.132,7.341,0,1,1,1,0,1,0,0,1,1,1,1,0,232.888,758.409,2064.667,1053.817
2130,-17.778,-17.778,0,23.762,83.261,38.966,252.5,7.31,0,9990000,0,1410,1410.087,1416,57.636,6.936,17.91,37.057,0,0,19.72,1.345,1,0,0,1,0,1,1,0,0,300,294.126,7.291,0,1,1,1,0,1,0,0,1,1,1,1,0,233.161,758.693,2065.667,1054.817
2131,-17.778,-17.778,0,23.785,83.047,39.685,252.5,7.056,0,9990000,0,1410,1410.09,1416.244,57.568,6.933,17.903,36.887,0,0,19.704,1.17,1,0,0,1,0,1,1,0,0,300,294.21,7.4,0,1,1,1,0,1,0,0,1,1,1,1,0,232.893,758.357,2066.683,1055.833
2132,-17.778,-17.778,0,23.708,83.034,40,252.5,6.934,0,9990000,0,1410,1410.693,1416.586,57.415,6.934,17.901,37.049,0,0,19.697,1.268,1,0,0,1,0,1,1,0,0,300,294.116,7.29,0,1,1,1,0,1,0,0,1,1,1,1,0,232.876,758.448,2067.683,1056.833
