Robert,Radloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 11 2021,2:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time(min),Line TC Setpoint(C),Line TC(C),Line Heater(%),Vaporizer TC(C),Vaporizer HeaterTC(C),Vaporizer Heater(%),Vaporizer Scale(lb),Vaporization(lb/h),Powder Feed Setpoint(g/h),Powder Scale(g),Powder Rate(g/h),Chamber TC Setpoint(C),Chamber TC1(C),Chamber TC2(C),Chamber Heater(%),MFC#0,MFC#1,MFC#2,MFC#3,ArMFC#1,ArMFC#2,ArMFC#3,XFMR Status,Vaccum Pump Outlet TC(C),Vaccum Pump Intlet TC(C),Inlet Valve Open,Inlet Valve Closed,Outlet Valve Open,Outlet Valve Closed,MKS Press/Pos,MKS Set Point,MKS Pressure(Torr),MKS Position(degrees),Injector TC(C),HG-412,HG-414,HG-416,PG-412,PG-414,PG-416,HG-418,MTS-414,HG-419,MH-481,MTS-420,Vibrator,Vibrator2,Bell Jar Press(Torr),Exhaust Press(Torr),Run-Time(min),Sub Run-Time(min)
4702,-17.778,-17.778,0,23.418,86.493,42.655,252.6,6.625,0,9990000,0,1410,1410.031,1417.563,56.753,6.943,17.901,38.079,0,0,19.701,1.311,1,0,0,1,0,1,1,0,0,300,294.285,7.578,0,1,1,1,0,1,0,0,1,1,1,1,0,233.102,757.062,4637.7,3626.85
4703,-17.778,-17.778,0,23.628,86.448,41.043,252.5,7.113,0,9990000,0,1410,1410.225,1417.881,56.696,6.924,17.916,37.808,0,0,19.719,1.163,1,0,0,1,0,1,1,0,0,300,294.262,7.538,0,1,1,1,0,1,0,0,1,1,1,1,0,233.579,756.912,4638.7,3627.85
4704,-17.778,-17.778,0,23.44,86.415,39.939,252.6,7.506,0,9990000,0,1410,1409.845,1417.678,56.871,6.922,17.903,38.08,0,0,19.708,1.327,1,0,0,1,0,1,1,0,0,300,294.252,7.559,0,1,1,1,0,1,0,0,1,1,1,1,0,233.211,757.276,4639.717,3628.867
4705,-17.778,-17.778,0,23.538,86.319,42.335,252.6,6.71,0,9990000,0,1410,1410.291,1417.676,56.754,6.956,17.902,38.002,0,0,19.692,1.237,1,0,0,1,0,1,1,0,0,300,294.36,7.61,0,1,1,1,0,1,0,0,1,1,1,1,0,233.243,756.692,4640.717,3629.867
4706,-17.778,-17.778,0,23.407,86.388,43.145,252.6,6.449,0,9990000,0,1410,1410.507,1417.423,56.649,6.92,17.897,38.049,0,0,19.698,1.282,1,0,0,1,0,1,1,0,0,300,294.26,7.537,0,1,1,1,0,1,0,0,1,1,1,1,0,233.045,756.985,4641.717,3630.867
4707,-17.778,-17.778,0,23.444,86.447,40.904,252.6,7.225,0,9990000,0,1410,1409.994,1417.309,56.721,6.933,17.917,38.005,0,0,19.741,1.345,1,0,0,1,0,1,1,0,0,300,294.141,7.576,0,1,1,1,0,1,0,0,1,1,1,1,0,233.132,757.108,4642.733,3631.883
4708,-17.778,-17.778,0,23.568,86.429,39.337,252.6,7.707,0,9990000,0,1410,1410.164,1417.385,56.69,6.928,17.9,37.996,0,0,19.706,1.238,1,0,0,1,0,1,1,0,0,300,294.083,7.578,0,1,1,1,0,1,0,0,1,1,1,1,0,233.181,756.695,4643.733,3632.883
4709,-17.778,-17.778,0,23.443,86.188,41.074,252.6,7.098,0,9990000,0,1410,1410.3,1418.096,56.664,6.924,17.917,37.802,0,0,19.747,1.171,1,0,0,1,0,1,1,0,0,300,293.979,7.54,0,1,1,1,0,1,0,0,1,1,1,1,0,232.928,756.751,4644.733,3633.883
4710,-17.778,-17.778,0,23.521,85.985,38.923,252.6,7.749,0,9990000,0,1410,1410.325,1418.069,56.602,6.92,17.92,37.794,0,0,19.753,1.186,1,0,0,1,0,1,1,0,0,300,294.074,7.602,0,1,1,1,0,1,0,0,1,1,1,1,0,232.885,756.88,4645.733,3634.883
4711,-17.778,-17.778,0,23.46,85.851,43.041,252.5,6.261,0,9990000,0,1410,1410.086,1417.765,56.652,6.923,17.905,37.866,0,0,19.72,1.164,1,0,0,1,0,1,1,0,0,300,294.084,7.574,0,1,1,1,0,1,0,0,1,1,1,1,0,233.137,756.826,4646.75,3635.9
4712,-17.778,-17.778,0,23.453,86.115,44.317,252.6,6.013,0,9990000,0,1410,1409.734,1418.512,56.815,6.914,17.932,37.807,0,0,19.785,1.249,1,0,0,1,0,1,1,0,0,300,294.087,7.575,0,1,1,1,0,1,0,0,1,1,1,1,0,232.972,756.911,4647.75,3636.9
4714,-17.778,-17.778,0,23.488,86.149,39.953,252.6,7.427,0,9990000,0,1410,1410.248,1417.885,56.715,6.941,17.902,38.08,0,0,19.687,1.292,1,0,0,1,0,1,1,0,0,300,294.043,7.579,0,1,1,1,0,1,0,0,1,1,1,1,0,232.766,757.159,4648.767,3637.917
4715,-17.778,-17.778,0,23.438,86.125,41.475,252.6,6.954,0,9990000,0,1410,1410.192,1418.102,56.685,6.924,17.9,37.975,0,0,19.697,1.22,1,0,0,1,0,1,1,0,0,300,293.943,7.599,0,1,1,1,0,1,0,0,1,1,1,1,0,232.991,756.946,4649.767,3638.917
